Record_ID,Date,Temperature_C,Humidity_percent,Rainfall_mm,Wind_Speed_kmh,PM2_5_ug_m3,PM10_ug_m3,NO2_ug_m3,Air_Quality_Index_AQI,Green_Environmental_Index,Air_Quality_Category,
1,2025-01-01,28.7,78.9,0,8.3,31.7,53.5,29.6,83,53.3,Moderate,
2,2025-01-02,21.3,83.7,2.7,13.7,17.8,60.9,11,55,70,Moderate,
3,2025-01-03,31.1,59.4,0,11.7,33.9,52.4,25.4,71,66.6,Moderate,
4,2025-01-04,32.2,52,0,10.8,21.1,73.9,34,86,69.2,Moderate,
5,2025-01-05,16.3,58.6,8.9,10.5,18.1,40.5,20.4,32,65.6,Good,
6,2025-01-06,19.8,73.8,0,9.4,29.5,49.4,15.6,57,68.1,Moderate,
7,2025-01-07,27.7,88.5,0,13.3,29,31.9,26.3,60,56.5,Moderate,
8,2025-01-08,25.3,75.4,1.1,7.2,28.1,63.7,41.2,69,66.4,Moderate,
9,2025-01-09,26.9,65.6,0,4.8,29.6,51.6,28.2,69,59.1,Moderate,
10,2025-01-10,22.3,79.1,0,12,14.5,55.2,16.6,36,56.1,Good,
11,2025-01-11,31.8,51.9,0,12,29.2,44.8,27.8,69,57.7,Moderate,
12,2025-01-12,31.3,62.7,0,11.5,39.7,57.5,29.5,88,61.8,Moderate,
13,2025-01-13,27.4,70.3,0,11.3,25.3,55.2,24.7,64,59.1,Moderate,
14,2025-01-14,33.2,62.1,4.3,9,25.2,56.7,30.8,49,65.7,Good,
15,2025-01-15,29.6,73.3,0,12.5,23.4,57.5,16.9,46,54.3,Good,
16,2025-01-16,22.3,78.1,2.4,9.9,23.8,41.8,15.4,54,53.7,Moderate,
17,2025-01-17,29,73,2.3,8.4,26.3,46.2,27.1,60,70.7,Moderate,
18,2025-01-18,21.7,70.5,0,9,26.6,66.8,21.2,40,67.2,Good,
19,2025-01-19,31.8,71.6,9.3,16.5,29.1,62.7,22,77,58.7,Moderate,
20,2025-01-20,26.7,83.3,1.2,4.4,37.3,45.9,27,72,62.6,Moderate,
21,2025-01-21,26,63.4,8.5,11.6,34.6,54,24,62,68.7,Moderate,
22,2025-01-22,23.3,67.2,0,4.6,35.2,42.1,31.7,79,64.9,Moderate,
23,2025-01-23,33.7,72.9,0,9.7,25.6,44.4,30.9,55,64.4,Moderate,
24,2025-01-24,26.2,69.4,0,8.6,19.8,65.1,28.8,56,68.9,Moderate,
25,2025-01-25,24.6,83.9,0,3.3,28.7,32.4,23.4,58,60.2,Moderate,
26,2025-01-26,25.1,68.6,0,11.2,20.6,60,28,77,63.7,Moderate,
27,2025-01-27,29.9,78.2,0,8.8,21.2,52.7,31.6,75,63.7,Moderate,
28,2025-01-28,29,68.7,0,3.3,29.8,57.1,36.8,77,61.4,Moderate,
29,2025-01-29,29.3,69.4,4.9,12.7,22.3,55.8,31.1,67,62.3,Moderate,
30,2025-01-30,29.4,79.7,0,14.6,20.3,57.7,30.1,68,64,Moderate,
31,2025-01-31,38.8,53.5,0,14.8,31.5,50.5,32.7,59,63,Moderate,
32,2025-02-01,24.8,65,0,11.1,33.4,57,25.5,76,57.1,Moderate,
33,2025-02-02,24.2,69.6,0,10.1,25.8,49.4,31.2,57,67.5,Moderate,
34,2025-02-03,22.5,78.7,0,14.3,39.6,25.9,16,61,58.1,Moderate,
35,2025-02-04,30.4,53.5,0,15.4,27.4,48.4,22,57,62.2,Moderate,
36,2025-02-05,33.2,67.9,0,13.6,27.5,73.5,30.7,79,60.8,Moderate,
37,2025-02-06,26.4,66.4,0,7,28.4,75.2,29.9,76,63.9,Moderate,
38,2025-02-07,22.4,84.4,0,10.6,24.2,54.6,16.3,27,52.8,Good,
39,2025-02-08,22.5,56,0,11.4,25.2,29.2,21.3,51,68.8,Moderate,
40,2025-02-09,30.6,59.5,0,4.2,50.7,67.3,30.9,100,56.9,Moderate,
